,Unnamed: 0,Unnamed: 0.1,web-scraper-order,web-scraper-start-url,url,url-href,post_name,story,amount_donated,amount_goal,donatedby_pplcount,likes,shares,location,post_created_on,img,numb_of_likes,numb_of_shares,doners,sentiment,story_length,goal,percentage,success,life_of_post,image_labels
0,0,0,1543888757-33644,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"IBEW Members Who Lost Homes to Fire
                        IBEW Members Who Lost Homes to Fire",https://www.gofundme.com/IBEW1245Fire,IBEW Members Who Lost Homes to Fire,"Several IBEW Local 1245 members and retirees have lost their homes and all of their belongings in the recent and ongoing California wildfires. Many of them narrowly escaped with just the clothes on their backs. Some are sleeping in tents and trailers.

The union is looking to raise funds to help these members pay for the basics, including clean clothes and decent lodging, during this difficult and tragic time. Please contribute what you can. Every dollar can make a difference for a union family in need.",7390,50000,49,50,75,"VACAVILLE, CA"," September 16, 2015",https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/6033057_1442428127.3615.jpg,50,75,49,-0.2675,508,50000,0.1478,0,0,"['yellow', 'font', 'line', 'clock', 'circle', 'area', 'graphics', 'product', 'angle', 'symbol']"
1,1,1,1543888416-33490,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Cardinal Newman High School Prom
                        Cardinal Newman High School Prom",https://www.gofundme.com/cardinal-newman-high-school-prom,Cardinal Newman High School Prom,"On October 9th, 2017 when the Tubbs fire burned through Sonoma County, Cardinal Newman High School was destroyed. Only two weeks ago, the students finally returned to their campus that has been outfitted with portable classroom.  For the previous 50 days post-fire, daily classes were held between several local churches in Santa Rosa. Whether near the confessional, auditorium, or even in a storage shed, the students resiliently reported daily for their lessons.

My name is Toby Proescher, and I own Events To The 'T', Inc. and sfproms.com . I have the pleasure of hosting over 100 yearly proms for many schools across the Bay Area and have been the Cardinal Newman prom event planner for 6 years now. Our hearts broke the morning we read that the Cardinal Newman campus had been devastated by the fire, and 620 students would be adversely affected. This recent article highlights the adversity the football team overcame to make it to the NCS Championships
  http://www.espn.com/espn/feature/story/_/id/22358016/cardinal-newman-football-california-wildfires-destroy-school 

Three weeks after the fire, I contacted the principal Mr. Graham Rutherford to find out if they were planning on continuing with prom, or if they wanted to cancel without any penalties. As soon as I heard him say 'yes we are going to give them a prom' I smiled and let him know that we would be doing everything for free, and starting this campaign on their behalf. As a Catholic school, they cannot solicit donations, but we can for them!

The Cardinal Newman prom is scheduled for Sunday, April 29, 2018 at the  http://www.bentlyreserve.com  in San Francisco. McCall's Catering will be providing delicious food, and the event will feature a live disc jockey, caricaturists, and a photo booth. We anticipate approximately 250-280 student attendees and guests from neighboring schools.

I would love to be able to tell all of the students this year that they don't have to pay for their prom tickets. In the case that we don't raise the entire amount, that the tickets will be inexpensive. Should we exceed our goal, the additional funds will be applied to possible upgrades such as dinner service and paying for the bus transportation.

Please help me and help the CNHS class of 2018 prom dreams come true! One magical night won't erase the hardships the students have endured, but it  sure can make a difference!",0,28630,0,,7,"WALNUT CREEK, CA"," February 10, 2018",https://d2g8igdw686xgo.cloudfront.net/27651948_15183103650_r.jpeg,0,7,0,0.9854,2393,28630,0.0,0,0,"['property', 'sky', 'grass', 'real estate', 'land lot', 'rural area', 'landscape', 'estate', 'cloud', 'tree']"
2,2,2,1543889806-34056,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Home lost in California wildfire
                        Home lost in California wildfire",https://www.gofundme.com/home-lost-in-california-wildfire,Home lost in California wildfire,"David Porter and his family lost their home and everything in it due to the ""Camp"" fire in Butte County, California on Friday November 9, 2018. They have nothing left but the family pets. 
David has served in emergency services for most of his life, and is a Senior Emergency Response Lead with Applied Materials. He has come to the aid of thousands of people and now it's time for us to step up and help him and his family recover from the devastation. It will take months for insurance and government aid to kick in. He needs help now. Please help David and his family today. We thank you.",9350,25000,62,61,172,"PARADISE, CA"," November 10, 2018",https://d2g8igdw686xgo.cloudfront.net/34405786_1541889434204631_r.jpeg,61,172,62,0.6124,591,25000,0.374,0,0,"['fire', 'geological phenomenon', 'formation', 'bonfire', 'flame', 'heat', 'wildfire', 'explosive material', 'night', 'cave']"
3,3,3,1543889785-34047,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"California wildfire relief
                        California wildfire relief",https://www.gofundme.com/hafsz-california-wildfire-relief,California wildfire relief,"At 12:30 am, Sunday, October 8, I was awakened and ordered to leave my home NOW!!! The cause? an out of control wildfire in the North Bay area in Northern California, where I have lived for the past ten months. The fire was just across the street from my house and was about to jump that street, I truly had time only to gather my three dogs, my purse and leave with only the clothes on my back.  A few days later, I found out that my home and everything I owned was completely destroyed, I am still unable to go to the site where my home used to be because it has been determined that it is too dangerous. I am staying in a motel in another town for now but am desparate to find somewhere to live. This funding outreach will help with the basics : relocation costs, clothes, housewares and medications. Any contribution to this account will help me rebuild my life and will be appreciated more than anyone can imagine.
Thank You so much!
Lisa Krivacka",4615,5000,33,32,61,"GLEN ELLEN, CA"," October 18, 2017",https://d2g8igdw686xgo.cloudfront.net/24673878_1508327327.5855.jpg,32,61,33,0.9522,952,5000,0.9229999999999999,0,0,"['fire', 'sky', 'wildfire', 'heat', 'geological phenomenon', 'explosion', 'atmosphere', 'smoke', 'evening', 'explosive material']"
4,4,4,1543889728-34022,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Help California Wildfire Victims
                        Help California Wildfire Victims",https://www.gofundme.com/3cwfv8-help-california-wildfire-victims,Help California Wildfire Victims,"Hello y'all, 

As many of you know, our friends and family in California have been gravely impacted by the wildfires. I wanted to extend a helping hand from Cleveland and organize the troops to gather any supplies and items needed. Any donation will go towards the purchasing of supplies (clothing, first aid, medicine, etc) or the logistical costs of getting everything across the country. Any remaining funds will be evenly split between The Red Cross and the Humane Society of Ventura County",110,500,4,4,37,"LAKEWOOD, OH"," November 14, 2018",https://d2g8igdw686xgo.cloudfront.net/34518224_1542212422784113_r.jpeg,4,37,4,0.7717,494,500,0.22,0,0,"['car', 'mode of transport', 'vehicle', 'road', 'recreation', 'product']"
5,5,5,1543888215-33400,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Support Wildfires Of California
                        Support Wildfires Of California",https://www.gofundme.com/support-wildfires-of-california,Support Wildfires Of California,A couple days ago a huge wildfire started in cali. Let's help fund the houses that were damaged!,0,300,0,,,"COLLEYVILLE, TX"," December 14, 2017",https://d2g8igdw686xgo.cloudfront.net/26224664_1513287554.4076.jpg,0,0,0,0.3382,96,300,0.0,0,0,"['geological phenomenon', 'heat', 'fire', 'flame', 'atmosphere', 'explosion', 'explosive material', 'sky', 'wildfire']"
6,6,6,1543889649-33989,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"California Wildfire Donation Drive
                        California Wildfire Donation Drive",https://www.gofundme.com/california-wildfire-donation-drive,California Wildfire Donation Drive,"A colleague of mine had her family's home completely obliterated by Camp Fire. They are currently staying with other cousins, but they severely lack many necessities such as undergarments, food and water. 

Our team at Cisco would like to raise money to support families like theirs by buying grocery vouchers or coupons so that they can afford at least the basic necessities.

Imagine having to evacuate your house and leave everything behind... homes are still burning, even now. Like my colleague's, many families that could not fit in the shelters have no access to daily necessities (they don't even have soap, undergarments, credit cards etc), and will still have to wait a long time before they receive any payouts. 

Any contribution will go a long way! Together we can help them tide through this crisis.",50,1500,1,1,4,"SAN JOSE, CA"," November 14, 2018",,1,4,1,-0.5371,813,1500,0.033333333,0,0,
7,7,7,1543888990-33721,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Blank Family Santa Rosa Fire Fund
                        Blank Family Santa Rosa Fire Fund",https://www.gofundme.com/blank-santa-rosa-fire-fund,Blank Family Santa Rosa Fire Fund,"Our parents, Gary Blank and Carole Cooper, just lost their home in the Santa Rosa, California, wildfires which have decimated the area. Please help as we try to get their lives on the road to recovery. Any little bit will help for clothes, essentials, toiletries, interim lodging, insurance deductibles, as we go through the inevitable process of figuring out what to do next and rebuilding a home as we evacuated literally with the clothes on our back and two kitties with no time to bring anything. It was a total loss of everything they own and have worked so hard to build. Thank you so much, we love you!  Jeremy Blank and Rachel Blank (the children) will be managing this funding campaign and will transfer any funds received directly to our mom and dad for their use on the above-mentioned items.",12780,30000,124,127,527,"SANTA ROSA, CA"," October 11, 2017",https://d2g8igdw686xgo.cloudfront.net/24575816_1507706744.49.jpg,127,527,124,0.8068,803,30000,0.426,0,0,"['geological phenomenon', 'pollution', 'disaster', 'tree', 'soil', 'waste', 'rubble', 'demolition', 'village']"
8,8,8,1543889006-33728,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"A new home for Lindsay and Riley
                        A new home for Lindsay and Riley",https://www.gofundme.com/lindsayandriley,A new home for Lindsay and Riley,"We are reaching out to help our dear friend Lindsay, who lost her home in the Northern California Wildfires. 

As soon as Lindsay had word of a fire breaking out in Calistoga near Tubbs Lane, she immediately left her home in Santa Rosa and jumped into her truck to make her way to us. It was almost midnight. She left her best friend Riley asleep in the safety of her home in Coffee Park in Santa Rosa, she would never think of bringing her dog into fire danger. When she crested the hill and stopped at Equi-Ed to pick up a four horse trailer to bring to us in Calistoga, she was approached by CHP who informed her that the fire was raging towards Santa Rosa and that she needed turn around and go back. She had the presence of mind to hitch up the trailer and take 4-of the Equi-Ed horses down the hill with her to safety. She then headed to Cloverleaf Farm in Santa Rosa and led 20 of their horses out of an enclosed wooden barn into open pastures and arenas. We now know that the barn burned to the ground. When she turned behind her she saw the flames coming towards her. She ran to her truck and headed to her home in Coffee Park only to find her neighborhood was on fire, she had only minutes/seconds to get Riley out. 

She and Riley escaped but only by minutes. She instinctually grabbed her camp gear which is always ready to go and headed to the Coast, making calls along the way to wake her friends and family and alert them of the fire danger. It was 2:00 a.m. Her house and everything she owned burned to the ground that night. 

Lindsay set up camp at the Coast and has not skipped one beat in helping Sunrise Horse Rescue and horses all over the Napa & Sonoma Valleys get to Safety. 

She has not paused to think of her own loss. Instead, she has been mobilizing teams of horse haulers and has been coordinating efforts to get horses to safety day after day without much sleep or the comfort of her home. 

Lindsay is a true hero, selfless, brave, incredibly capable, an extraordinary human being. Help us give back to Lindsay who has given so much during this devastating time, She and Riley need our help getting back on their feet!!",29332,20000,130,138,661,"SANTA ROSA, CA"," October 19, 2017",https://d2g8igdw686xgo.cloudfront.net/24765678_1508451575.4431.jpg,138,661,130,0.9894,2151,20000,1.4666,1,0,"['horse', 'pasture', 'horse like mammal', 'mare', 'foal', 'grassland', 'grazing', 'grass', 'pack animal', 'livestock']"
9,9,9,1543888829-33657,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"North Valley Animal Disaster Group
                        North Valley Animal Disaster Group",https://www.gofundme.com/north-valley-animal-disaster-group,North Valley Animal Disaster Group,"Vets and nurses from the North Valley Animal Disaster Group are caring for evacuees pets at the defunct Del Oro Old County Hospital building in Oroville.

Unfortunately, there are thousands of animals which have been burned alive in the California wildfires, and many others need care.

Sandra Bullock has led stars supporting the work to save animals, donating $100k while animal lover, and local Kaley Cuoco, has called on fans to support the work of shelters.

Please support! Give what you can. $1 is not too small.",500,500,19,18,33,"DUNEDIN, FL"," November 15, 2018",https://d2g8igdw686xgo.cloudfront.net/34544892_1542281919881278_r.jpeg,18,33,19,0.9606,519,500,1.0,1,0,"['cat', 'small to medium sized cats', 'whiskers', 'cat like mammal', 'kitten', 'snout', 'carnivoran']"
